ip_address,domain,malware_hash,threat_type,description,label
,0wlpyy4ejdi1r.tk,6d044c34db1d328b807bfb7cbe9b65a1,data_exfiltration,Domain hosting exploit kit distributing malware,1
146.216.182.61,83vechrcchia7veya.top,,phishing,Data exfiltration via DNS tunnelling detected,1
196.82.225.103,kkgnmfj74brr.tk,,command_and_control,Data exfiltration via DNS tunnelling detected,1
170.143.238.44,waiodxsckw0hd7xyg7k.buzz,,denial_of_service,Data exfiltration via DNS tunnelling detected,1
,61coht.xyz,,command_and_control,Malicious macro in Office document,1
,,,phishing,test,0
209.184.12.79,i5bdnfpi8ufdq3uykm9.tk,53877ac575e5c9dbcc0d858d55605c2dd3428efe65b853438514916c9cc47934,malware,Credential harvesting page impersonating corporate SSO,1
191.0.207.97,,aa906ece1bc0243fa2c85ebc6b04f7793288f8ca5a5065a06308aa32b2fcac56,data_exfiltration,,0
116.53.88.157,,2fc97af6f6e79a641bd290e6bd724b64d93c8819e8b16f88085f6182d037e142,other,Ransomware dropper detected in email attachment,1
,3sd0a46mxdr.com,,ransomware,,0
153.80.205.168,,,denial_of_service,Malicious macro in Office document,1
,,,brute_force,,0
71.187.188.189,7980i3p64n2.cc,a27ccb272065ee70e162c99e5cc2251071dd697da23790dd9be4f7b8472f90cb,brute_force,Credential harvesting page impersonating corporate SSO,1
204.134.99.243,,,malware,Botnet command-and-control beacon every 60 seconds,1
,9geexjziz8d.tk,48a83113e8a9ad216dba4a5b062e7576,ransomware,Phishing email targeting employees with fake login page,1
191.230.42.143,,,command_and_control,Malicious macro in Office document,1
172.2.225.75,,8f65e1991e57afc8a9b81cd8993044a8798c7b8d8318415a1184649ae517ba8f,command_and_control,Credential harvesting page impersonating corporate SSO,1
,,,malware,,0
,zc7um3lxerhogfdr3gk.top,e0adb2039f2f6f81ba60f91a019fbef6ce8d0eebb66f37caaf19c733e8b4aa7b,malware,Domain hosting exploit kit distributing malware,1
63.76.237.87,,,data_exfiltration,,0
100.102.22.50,,,denial_of_service,Credential harvesting page impersonating corporate SSO,1
,,,data_exfiltration,hello world,0
,zvnyz.cc,ca459a002b37956d91045c106f9762a6,denial_of_service,Ransomware dropper detected in email attachment,1
237.34.93.15,,c3dbdd05bb86e237dea3ac3e93c3ab91,malware,Data exfiltration via DNS tunnelling detected,1
160.130.95.197,,,command_and_control,,0
,8ml2j4bw2l59t.xyz,6515b02083485fa4ba322121ecc0a6ea,data_exfiltration,Data exfiltration via DNS tunnelling detected,1
,v7nwtono2.cn,,command_and_control,Credential harvesting page impersonating corporate SSO,1
45.111.187.173,9pkd469l9cz50t5ikm.tk,93d6972771f4adba300fd7ff57bb0f7c,other,Brute force SSH attempts from this IP,1
58.55.47.168,,,data_exfiltration,,0
,6uoq8q.top,95e5b516b170fdb13290182f4700c7f4,brute_force,Phishing email targeting employees with fake login page,1
,emswzx1cl.xyz,b508c99f364da1b90e5ab08a8fa641b2452c4b80105462978da63927cb3d6bb5,ransomware,Credential harvesting page impersonating corporate SSO,1
248.254.71.227,f2baxlbvgn3lw9sh.org,,phishing,,0
24.105.67.117,lkpp9s4.top,,ransomware,Botnet command-and-control beacon every 60 seconds,1
